"Site Number","Name","Town","Description","Street Address","Status","Start Date","Stop Date","Parameters Measured","Location Accuracy","Latitude","Longitude"
230051010,"WESTBROOK","WESTBROOK"," ","WESTBROOK HOSPITAL-PARK RD.","I",01/01/1981,," "," ",-70.36778,43.67625
230191004,"LINCOLN","LINCOLN"," ","KATAHDIN AVE. FIELD-LINCOLN","I",01/01/1979,," "," ",-68.51184,45.36599
230170003,"MEXICO","MEXICO"," ","RUM-MEX SEWAGE TREATMENT PLT","I",01/01/1976,," "," ",-70.52133,44.54131
230193007,"MILFORD","MILFORD"," ","SHUMWAY FIELD-RTE. 178-MILFORD","I",01/01/1980,," "," ",-68.63352,44.92762
230170004,"MEXICO","MEXICO"," ","NORBIE'S MOBIL STA-MAIN ST.","I",01/01/1977,," "," ",-70.54187,44.55634
230050016,"PORTLAND","PORTLAND"," ","MOBIL STA.-108 ST. JOHN ST.","I",01/01/1982,," "," ",-70.27901,43.6464
230131007,"THOMASTON","THOMASTON"," ","MARSH ROAD, THOMASTON, MAINE","I",01/01/1980,06/02/1992," "," ",-69.16521,44.0806
230031011,"PRESQUE ISLE","PRESQUE ISLE","RIVERSIDE STREET MONITORING SHELTER","RIVERSIDE STREET","A",09/01/1993,,"PM10, PM2.5, HAPS","WITHIN 5M",-68.01619,46.6823
230053002,"POWNAL","POWNAL"," ","TRAILER, ALLEN ROAD, POWNAL, MAINE 04069","I",04/01/1980,," "," ",-70.23013,43.90858
230058001,"WESTBROOK","WESTBROOK"," ","HIGH SCHOOL-STROUDWATER ST.","I",01/01/1979,," ","WITHIN 100M",-70.35445,43.67306
230052004,"YARMOUTH","YARMOUTH"," ","FAIRBANKS LINE-COUSINS IS.","I",01/01/1982,," "," ",-70.1427,43.76466
230170011,"MEXICO","MEXICO"," ","HUNT'S PROPERTY-ROUTE #2","I",01/01/1983,," "," ",-70.5338,44.55045
230050022,"SOUTH PORTLAND","SOUTH PORTLAND"," ","130 WESCOTT ROAD, SOUTH PORTLAND","I",06/05/1992,," "," ",-70.30342,43.6255
230131008,"THOMASTON","THOMASTON"," ","ROUTE 1, THOMASTON, MAINE","I",01/01/1980,07/01/1984," "," ",-69.16311,44.08499
230251001,"MADISON","MADISON"," ","MUNICIPAL BUILDING-RT 201","I",01/01/1981,," "," ",-69.88063,44.79989
230317001,"ELIOT","ELIOT"," ","FIRE STATION 141, ROUTE 103, ELIOT, MAINE","I",01/01/1967,," "," ",-70.79115,43.12503
230290004,"BAILEYVILLE","BAILEYVILLE"," ","D STREET, WOODLAND, MAINE","I",01/01/1979,," "," ",-67.41206,45.16698
230250003,"MADISON","MADISON"," ","ABENAKI MILL PARKING LOT","I",01/06/1982,," "," ",-69.88598,44.78999
230150001,"WISCASSET","WISCASSET"," ","FEDERAL STREET-WISCASSET","I",01/01/1973,," "," ",-69.66187,44.00845
230190013,"MILLINOCKET","MILLINOCKET"," ","EAST AVENUE-MILLINOCKET","I",01/01/1979,," "," ",-68.6981,45.65199
230056001,"PORTLAND","PORTLAND"," ","OFFICE BUILDING, 178 MIDDLE STREET, PORT","I",01/01/1958,," "," ",-70.2495,43.58341
230196002,"ORONO","ORONO"," ","UNIV. OF MAINE-FORESTRY BLDG","I",01/01/1979,," "," ",-68.6664,44.89621
230091001,"BUCKSPORT","BUCKSPORT"," ","ROUTE 15, BUCKSPORT, MAINE","I",01/01/1976,," "," ",-68.80674,44.58596
230172002,"RUMFORD","RUMFORD"," ","RUMFORD MILL ROUTE 2","I",09/04/1978,," "," ",-70.54752,44.55516
230193006,"ENFIELD","ENFIELD"," ","ENFIELD TOWN OFFICE-RT. #155","I",01/01/1980,," "," ",-68.56749,45.24847
230038001,"ASHLAND","ASHLAND","LORING AFB SOG SSITE,NEAR SQUA PAN","LORING AFB SOG SSITE NEAR SQUA PAN","I",01/01/1989,," "," ",-68.41143,46.60504
230172008,"RUMFORD","RUMFORD"," ","TAYLOR HILL 3","I",03/15/1988,06/02/1990," "," ",-70.53546,44.54247
230110010,"AUGUSTA","AUGUSTA"," ","HUSSEY SCHOOL, GEDNEY STREET, AUGUSTA","I",01/01/1984,," "," ",-69.76131,44.32078
230311002,"KITTERY","KITTERY"," ","GOVERNMENT STREET, KITTERY, MAINE","I",01/01/1983,," "," ",-70.74401,43.08585
230192008,"MILLINOCKET","MILLINOCKET"," ","SCALERS SHACK-WEST BRANCH RD","I",01/01/1977,," "," ",-68.7231,45.65199
230070003,"JAY","JAY"," ","JEWELL PROPERTY-CRASH ROAD","I",01/01/1979,," "," ",-70.23331,44.49257
230290008,"BAILEYVILLE","BAILEYVILLE","WOODLAND HIGH SCHOOL","WOODLAND HIGH SCHOOL","I",05/01/1980,12/31/1994," "," ",-67.42721,45.01119
230092004,"MT DESERT ROCK","MT. DESERT ROCK"," ","17894 LIGHTHOUSE WAY","I",06/01/1992,," "," ",-67.99944,44.00009
230090103,"MCFARLAND HILL","BAR HARBOR","MCFARLAND HILL","MCFARLAND HILL-DISPRO SITE","A",01/02/1998,,"O3, CO, SO2, NOY, PM2.5, WS/WD, RH, SOLAR, SULFATE, CARBON, TEMP, PRECIP, ATMOSPHERIC DEP.","WITHIN 5M",-68.2609,44.37705
230091004,"BUCKSPORT","BUCKSPORT"," ","PUBLIC LANDING","I",04/02/1986,," "," ",-68.79671,44.57243
230010014,"DURHAM","DURHAM","DURHAM FIRE STATION","ROUTE 9","A",04/01/2004,,"O3","WITHIN 5M",-70.1249,43.97445
230113001,"HALLOWELL","HALLOWELL"," ","STEVENS SCHOOL, WINTHROP STREET, HALLOWE","I",01/01/1977,," "," ",-69.79667,44.29299
230132002,"THOMASTON","THOMASTON"," ","STOCKFORD PROP-ST. GEORGE RD","I",01/01/1978,," "," ",-69.16559,44.07823
230190008,"BANGOR","BANGOR"," ","MAIN STREET","I",01/01/1977,," "," ",-68.77979,44.80168
230010004,"AUBURN","AUBURN"," ","ST. LOUIS SCH.-100 SECOND ST","I",01/01/1978,," "," ",-70.22358,44.08664
230191001,"BREWER","BREWER"," ","FIRE STATION-122 S. MAIN ST.","I",01/01/1977,," "," ",-68.76925,44.79125
230110009,"AUGUSTA","AUGUSTA"," ","HODGKINS SCHOOL, MALTA STREET, AUGUSTA","I",01/01/1984,," "," ",-69.75662,44.31685
230116001,"WINSLOW","WINSLOW"," ","ELEMENTARY SCH.-HALIFAX ST.","I",01/01/1973,," "," ",-69.62383,44.54164
230210004,"GREENVILLE","GREENVILLE","WORTMAN PROPERTY","VILLAGE STREET","I",12/01/2006,04/30/2011,"PM2.5","WITHIN 5M",-69.59224,45.46303
230010011,"LEWISTON","LEWISTON","COUNTRY KITCHEN LOT","CANAL ST","A",07/13/1981,,"PM10, PM2.5, HAPS","WITHIN 5M",-70.21414,44.08936
230050023,"PORTLAND","PORTLAND","PROBE LOCATED ON ROOF AT EASTERLY SIDE OF BUILDING","312 CANCO ROAD, PORTLAND, MAINE","I",01/01/1996,," "," ",-70.28187,43.68589
230011010,"LEWISTON","LEWISTON"," ","PARK STREET-PARKING LOT","I",01/01/1980,," "," ",-70.21505,44.09841
230051005,"WESTBROOK","WESTBROOK"," ","VIOLETTE'S SHELL-399 MAIN ST","I",01/01/1979,," ","WITHIN 100M",-70.34835,43.68142
230191007,"LINCOLN","LINCOLN","TMTP TRAILER PARK,  OFF OF ROUTE 2 IN LINCOLN","THOMAS MOT. TRA. PRK.-BROADWAY","I",02/12/1982,," "," ",-68.51114,45.36478
230051004,"WESTBROOK","WESTBROOK"," ","PRIDE'S CROSSING, WESTBROOK, MAINE","I",10/01/1979,," "," ",-70.33533,43.72924
230130002,"PORT CLYDE","PORT CLYDE"," ","PORT CLYDE OZONE BIRCH ROAD","I",01/01/1986,10/01/1986," "," ",-69.23636,43.93569
230131002,"ROCKLAND","ROCKLAND"," ","HEALTH & WELFARE BLDG-PARK DR.","I",01/01/1975,," "," ",-69.10693,44.10126
230112002,"WATERVILLE","WATERVILLE"," ","COREY'S MUSIC-99 MAIN ST.","I",01/01/1981,," "," ",-69.63021,44.54926
2,"CARRABASSETT VALLEY","CARRABASSETT VALLEY"," ","PENOBSCOT INDIAN NATION","A",03/12/2002,,"ATMOSPHERIC DEP., PRECIP","WITHIN 5M",-70.2119,45.0803
230050015,"PORTLAND","PORTLAND","TUKEY'S BRIDGE","BEAN POT RD.","A",01/01/1981,,"PM10, PM2.5","WITHIN 5M",-70.25614,43.678
230310009,"SAWGRASS","ELIOT","CENTER OF SAWGRASS CUL DE SAC","88 SAWGRASS LANE","I",11/01/2014,04/01/2016,"SO2, WS/WD","WITHIN 1M",-70.76973,43.11137
12,"ME94","INDIAN TOWNSHIP RESERVATION","NADP","","I",10/03/2013,,"PRECIP CHEMISTRY","",-67.6308,45.2436
230031101,"LITTLETON","LITTLETON","MICMAC SITE","198 WEST RIDGE RD.","A",04/01/2014,,"PM2.5","",-67.88256,46.22875
230173002,"BETHEL - PENDING","BETHEL","(BSFR) SMITH FARM ROAD BETHEL LAND OWNER","343 FLAT ROAD","A",,,"OZONE","",-70.85481,44.37778
230072002,"CVTO","CARRABASSETT VALLEY","TOWN OFFICE","1001 CARRIAGE ROAD","I",11/05/2015,09/06/2017,"PM2.5","",-70.2119,45.0803
230190017,"BMSS","BANGOR","MARY SNOW SCHOOL","435 BROADWAY ","A",10/01/2017,,"PM2.5","",-68.7727,44.81761
